product_id,platform,platform_id,was_active,stage,title
4558,amazon,B098SWV7MW,true,amazon_done,"[NITONAMI] よだれかけ ベビー ビブ スタイ 赤ちゃん エプロン 食事用 柔らかい 綿100% 360度回転 柔らかい 4枚セット 保育園用"
4586,amazon,B0GVBKTK3R,true,amazon_done,"[ZHICHUANGW] スタイ 6枚セット 防水 360度 新生児 6層ガーゼ 男女兼用 よだれかけ 男の子 女の子 柔らかい 食事用 お出かけ ギフト"
4611,amazon,B0F1ZWFN7B,true,amazon_done,"[Comfort U] よだれかけ スタイ ベビー ビブ 男の子 女の子 5枚セット 綿100％ 6重ガーゼ 吸水 柔らかい スナップボタン サイズ調整可能 赤ちゃん 可愛い エプロン お食事スタイ おしゃれ おでかけ 無地 出産準備 ギフト 保育園 入学準備"
4630,amazon,B0CY6W6DRC,true,amazon_done,"[ムーミン] タオル美術館 フルーツミックス スタイB 47-7027181 B"
4632,amazon,B0GVZGBCG2,true,amazon_done,"[DDUDDI DDUDDI] ベビー 8重ガーゼ スタイ 綿100% 贅沢なボリューム 高吸水 通気性 よだれかけ ふわふわ 赤ちゃん 出産祝い ギフト (GREY)"
4646,amazon,B0FY6K726X,true,amazon_done,"[Tiny Twinkle] [タイニートゥインクル] イージービブ3枚セット 【日本正規品】 6～24ヵ月 畳めるスナップボタン付き 食事用エプロン 離乳食エプロン 保育園エプロン 防水 洗濯機OK TT-EB3-P15 Cars/Flags/2635C"
4702,amazon,B01ITXDJEI,true,amazon_done,"[コッパーパール] スタイ よだれかけ 男の子 女の子 防水 赤ちゃん 米国発/バンダナ ビブ 4枚セット ジャクソン"
4721,amazon,B0DLKS13MN,true,amazon_done,"[QIKEJI] よだれかけ 女の子 男の子用 綿100% スタイ 花びら型 柔らかい 防水 ガーゼ 360度回転エプロン かわいいデザイン 吸水性 ベビースタイ ベビーバス 幼稚園用 (5枚セット)"
4737,amazon,B07B456M6H,true,amazon_done,"aden + anais エイデンアンドアネイ スナップ付きよだれかけ サファリ 3枚セット モスリンコットン 洗える 赤ちゃん用 BBADAEJ735"
4791,amazon,B0D1BPCWD4,true,amazon_done,"[Little Dimsum] 長袖エプロン お食事ベビーエプロン 防水ポケット付き 軽量 速乾 子供 保育園 幼稚園6-36ヶ月(2枚セット)（木の葉）"
4825,amazon,B083L99J87,true,amazon_done,"[コッパーパール] スタイ よだれかけ 男の子 女の子 防水 赤ちゃん 米国発/バンダナ ビブ 4枚セット レノン"
4826,amazon,B0FSS565PY,true,amazon_done,"[Little Dimsum] お食事エプロン 離乳食エプロン 長袖 防水 ポケット付き 軽量速乾 保育園 幼稚園用 男の子 女の子 6-36ヶ月"
4980,amazon,B09SFPJF7F,true,amazon_done,"[kalavika] お食事エプロン 長袖 6ヶ月～54ヶ月 赤ちゃん お食事スタイ 女の子 男の子 ベビー ビブ 防水 軽量 ポケット付き スモック 子供 食事用エプロン 保育園 ベビーギフト 出産祝い"
11268,amazon,B009631POM,true,amazon_done,"キューピー しっとり全身ベビーソープ 泡タイプ つめかえ用 350ml 無香料"
10665,amazon,B000CCV6X6,true,amazon_done,"アトピタ 全身ベビーソープ 泡タイプ 詰替え用 300ml"
10763,amazon,B09R9MTS74,true,amazon_done,"PIGEON ピジョン ベビー全身泡ソープ しっとり 詰替用 2回分 800ml"
10854,amazon,B09R9K1M3K,true,amazon_done,"ピジョン Pigeon ベビー全身泡ソープ 詰めかえ用 400ml"
3755,amazon,B084PMGW7Y,true,amazon_done,"スケーター(Skater) ステンレス 子供用 水筒 380ml ストロー飲み 3D ハローキティ おやつタイム SSPV4 サンリオ-A"
3738,amazon,B07KWVRGM1,true,amazon_done,"スケーター (skater) 折りたたみ式 両手ハンドル ストローマグ はらぺこあおむし 260ml KSHW1"
3726,amazon,B0FRD66BMJ,true,amazon_done,"リッチェル(Richell) アクリア いきなりストローマグセット KN ライトピンク 6カ月頃から トレーニング 吸いやすい 漏れない"
3634,amazon,B0F43J1FQF,true,amazon_done,"リッチェル トライ ストロー飲みマスターセット 200ml レッド 名入れ付き 生後5カ月頃～ ベビーマグ ストローマグ 赤ちゃん 水分補給 出産祝い ギフト"
9950,amazon,B0H36BVWDM,true,amazon_done,"ベビーチェア 折りたたみ ハイチェア ローチェア 赤ちゃん テーブル 付き 離乳食 食事 ハイローチェア 高さ調節 椅子 2way 持ち運び ロー 立ち上がり防止 クッション 折り畳み チャイルドチェア テーブルチェア"
9873,amazon,B0CKYXQ27G,true,amazon_done,"enne. 多機能 ベビーチェア 折りたたみ ハイチェア 持ち運び 子供 椅子 ベビー 赤ちゃん ローチェア テーブル付き キッズチェア 離乳食 幼児 (Pink)"
11419,amazon,B01MUABCPP,true,amazon_done,"【セット品】パックスベビー 詰替用全身シャンプー 300ml (3個)"
9748,amazon,B0FXGGHKJP,true,amazon_done,"「FLYKING」4-in-1ベビーカー リクライニングベビーバウンサー ロッキングチェア、多機能、新生児用バウンサー 食事用トレイ キャスター付き 角度調節可能 洗える ベビー用品 ベビーチェア 離乳食 ギフト (グリーン)"
4856,amazon,B08R83NDRH,true,amazon_done,"[Poksun] 使い捨て エプロン お食事エプロン 携帯用 よだれ掛け ビブ 離乳食 防水加工 ３重防水 お出かけ おしゃれ 出産祝い 60枚入り 可愛い アイコン"
4399,amazon,B0FN3GP3DN,true,amazon_done,"離乳食スプーン 2本セット ベビースプーン 温感 温度で色が変わる 赤ちゃんの火傷防止 ベビー用品 食器 食器セット 男の子 女の子"
11900,amazon,B0FLK3HJ5Y,true,amazon_done,"吸引 シリコン チューブ 電動鼻水吸引器 交換部品 長さ100㎝ 内径7mm 外径10mm 消耗品 半透明 吸引チューブ ポット"
11996,amazon,B0BZZ84XXB,true,amazon_done,"【簡単よくとれる】 MamaCute 鼻水吸引器 鼻吸い器 [0歳から使える] [子どもが嫌がりにくい] 静音設計 乳幼児向け ハンディ 真空ポンプ式"
12140,amazon,B0B25PKZVJ,true,amazon_done,"非接触式電子温度計赤外線： 1秒測定 32回記録 非接触型"
